,day,sndp,temp,total_num_of_crimes
1676,2,0,57.2,0.627865961
1828,2,0,67.1,0.863095238
1584,5,0,78.4,0.77029703
565,4,0,46.7,0.641078838
1728,1,0,44.5,0.627722772
1222,6,0,86,0.748015873
1912,2,0,48.2,0.628968254
2133,2,0,41.6,0.52991453
1848,7,0,49,0.59009901
1949,2,0,42.1,0.651428571
453,2,0,44.1,0.565811966
938,5,0,68.9,0.756613757
1421,5,0,64.4,0.622857143
422,3,3.1,30.2,0.541446208
155,5,0,43.4,0.691089109
1168,4,0,76.5,0.773809524
1380,6,0,76.7,0.772277228
1504,4,0,77.3,0.777777778
574,3,0,46.3,0.581349206
2118,3,0,40.1,0.679207921
1685,7,0,65.5,0.617142857
1979,7,0,38.9,0.592380952
93,6,0,30.4,0.575396825
326,2,3.1,13.9,0.557264957
1879,6,0,34.8,0.647302905
228,4,0,35.9,0.695020747
2132,1,0,36,0.536155203
954,5,0,65.6,0.693069307
1870,2,0,57.1,0.652777778
2103,4,0,34.9,0.588034188
1180,6,0,69.3,0.744047619
670,5,0,52.2,0.712301587
1679,6,0,70.5,0.603809524
448,3,0,54.7,0.648809524
1724,3,0,54.9,0.679012346
1439,1,0,70.6,0.6
783,1,0,59.9,0.625641026
1263,4,0,80,0.656410256
799,1,0,50.4,0.782157676
1548,6,0,70.3,0.742574257
2179,7,0,54.3,0.701244813
1816,7,0,56.2,0.714285714
285,3,1.2,30.8,0.581349206
463,1,0,36.1,0.67219917
804,1,0,63.8,0.798019802
786,5,0,53.5,0.669306931
55,5,5.1,31.7,0.50617284
1762,5,0,49.5,0.706349206
1722,7,0,47.9,0.588118812
1533,7,0,60.3,0.615384615
1775,1,0,53.1,0.666666667
1610,5,0,69.1,0.723104056
1294,4,0,83.5,0.765873016
972,1,0,64.1,0.736633663
2061,4,0,50,0.533333333
1075,5,0,78.5,0.798755187
858,3,0,63.7,0.720792079
119,6,0,39.7,0.651485149
1737,6,0,44.8,0.536752137
1283,3,0,77.2,0.695238095
1311,5,0,76.4,0.700854701
781,5,0,50.1,0.77593361
275,4,2,41.5,0.625742574
321,2,0,37.9,0.597222222
2004,5,1.2,36.2,0.689108911
1367,3,0,77.1,0.697142857
1286,7,0,76.8,0.731922399
1052,3,0,70.8,0.671957672
85,3,0,20.3,0.619047619
394,1,0,52.6,0.755952381
108,5,1.2,31.5,0.678423237
1871,3,0,37.8,0.695238095
1190,5,0,72.1,0.71957672
862,2,0,75.7,0.761904762
1944,2,0,32.3,0.655445545
707,5,0,49.6,0.700952381
1256,2,0,69.3,0.687830688
488,7,0,27.3,0.537918871
555,5,0,52,0.593162393
989,3,0,77.7,0.72952381
1386,7,0,76.5,0.75049505
1264,6,0,74.2,0.884920635
351,7,0,52.2,0.571428571
794,2,0,67.2,0.64021164
896,5,0,67.4,0.675485009
2033,2,0,41.3,0.674285714
966,7,0,65.5,0.64950495
634,6,0,61,0.654761905
1850,3,0,49.5,0.671957672
1032,4,0,66.5,0.663366337
240,6,0,13.5,0.690871369
207,4,0,28.1,0.650793651
1133,6,0,71.5,0.693333333
1454,7,0,78.1,0.641975309
1394,4,0,76.5,0.650793651
618,5,0,45.8,0.702970297
1035,1,0,78.3,0.646153846
1901,1,0,37.9,0.636190476
1312,7,0,75.6,0.773809524
460,5,0,42.9,0.700396825
314,7,3.1,24.3,0.471794872
1333,6,0,75,0.734439834
631,1,1.2,39.9,0.686721992
297,5,0,50.2,0.66468254
1350,1,0,77.9,0.78019802
992,7,0,75.1,0.728395062
2009,5,0,42.2,0.792380952
1772,4,0,50.3,0.596119929
2016,7,0,43.4,0.623762376
1838,1,0,53,0.668430335
1981,2,0,42.1,0.695020747
1726,6,0,61.4,0.706349206
943,4,0,66.4,0.697095436
977,1,0,84.7,0.64952381
867,1,0,74.3,0.582905983
1922,1,0,21.1,0.534391534
