,day,temp,total_num_of_crimes
1005,3,63.5,0.617094017
723,5,52.2,0.765811966
1532,6,49.8,0.566137566
1182,1,83,0.77029703
1267,2,73.3,0.778008299
646,1,68.2,0.676587302
348,3,26.3,0.645228216
1281,7,82.5,0.676923077
574,3,46.3,0.581349206
2132,1,36,0.536155203
998,1,80.1,0.758377425
1939,2,38.3,0.738589212
52,1,23.1,0.56952381
2131,6,39,0.663900415
2140,5,32.2,0.662698413
639,5,62.4,0.632478632
152,1,25.9,0.572649573
429,5,50.6,0.663247863
285,3,30.8,0.581349206
1424,2,77.1,0.705467372
181,5,24.9,0.589065256
1991,2,55.8,0.691428571
1545,2,73.7,0.683760684
1881,2,48.9,0.531623932
1577,3,76.7,0.761904762
1343,6,69.4,0.72952381
817,4,67,0.751037344
1436,4,72.4,0.670194004
473,1,47.9,0.611428571
1039,6,69.1,0.790456432
942,3,63.5,0.752475248
62,7,27.7,0.511111111
318,5,30.4,0.697095436
738,4,65.4,0.708910891
1620,4,59,0.601980198
1602,1,65.1,0.742574257
2018,3,32.4,0.627865961
2084,7,49.3,0.57319224
2041,5,39.2,0.692946058
405,1,40,0.6
681,5,47.5,0.67008547
1826,6,40,0.723104056
862,2,75.7,0.761904762
1919,4,36.2,0.601904762
2016,7,43.4,0.623762376
2004,5,36.2,0.689108911
1821,6,48.8,0.547008547
873,2,73.3,0.625641026
2032,1,33.4,0.678571429
1562,4,62.3,0.735449735
1610,5,69.1,0.723104056
1144,7,74.2,0.692460317
704,1,52.2,0.636684303
1125,2,69,0.594871795
1140,1,80.1,0.752475248
1943,1,39.2,0.653333333
1873,5,24.6,0.649377593
1768,6,48,0.64484127
496,4,38.7,0.656746032
526,2,45.9,0.726190476
384,1,37.9,0.643564356
2028,2,30.8,0.687128713
1940,4,24.6,0.552028219
1269,5,80.7,0.668376068
643,3,57.9,0.692946058
218,5,20.2,0.535042735
881,6,63.4,0.723809524
1964,1,44.1,0.532627866
1748,7,45.9,0.615520282
1042,4,72.3,0.734126984
2005,6,38.5,0.622406639
1700,6,51,0.636684303
2103,4,34.9,0.588034188
789,2,54.2,0.620512821
1351,2,76.1,0.761410788
1447,4,71.5,0.838174274
2034,3,28.3,0.699009901
1184,4,68.1,0.657848325
636,1,31.3,0.669306931
90,2,26.4,0.657676349
1832,7,40,0.615520282
2168,7,31.3,0.497354497
1266,1,72.5,0.734653465
1967,5,44.8,0.605714286
1103,1,75.2,0.826666667
719,7,45.2,0.6
276,5,23.7,0.709543568
482,6,41.9,0.617283951
163,2,-4.5,0.48324515
58,2,39.8,0.685714286
1285,5,74.2,0.98340249
390,2,36.1,0.615841584
455,5,39,0.613333333
1073,3,69.8,0.695238095
1689,5,62,0.6
326,2,13.9,0.557264957
328,5,40.8,0.596190476
506,3,26.7,0.608465608
807,5,67.6,0.707692308
